Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
EQU24_RS10075	EQU24_RS10075	2247316	2247526	hypothetical protein	EQU24_RS10075	EQU24_RS10075	EQU24_RS10075		
pap	EQU24_RS10070	2245796	2247280	polyphosphate:AMP phosphotransferase	pap	EQU24_RS10070	pap		
EQU24_RS10065	EQU24_RS10065	2245042	2245854	1-acyl-sn-glycerol-3-phosphate acyltransferase	EQU24_RS10065	EQU24_RS10065	EQU24_RS10065		
EQU24_RS10060	EQU24_RS10060	2244279	2245070	GNAT family N-acetyltransferase	EQU24_RS10060	EQU24_RS10060	EQU24_RS10060		
EQU24_RS10055	EQU24_RS10055	2241937	2243919	diguanylate cyclase	EQU24_RS10055	EQU24_RS10055	EQU24_RS10055		
EQU24_RS10050	EQU24_RS10050	2240578	2241312	twitching motility protein PilT	EQU24_RS10050	EQU24_RS10050	EQU24_RS10050		
EQU24_RS10045	EQU24_RS10045	2240424	2240619	hypothetical protein	EQU24_RS10045	EQU24_RS10045	EQU24_RS10045		
EQU24_RS10040	EQU24_RS10040	2239727	2240374	DUF2459 domain-containing protein	EQU24_RS10040 // EQU24_RS10035	EQU24_RS10040	EQU24_RS10040 // EQU24_RS10035		
EQU24_RS10035	EQU24_RS10035	2235138	2239697	NAD-glutamate dehydrogenase	EQU24_RS10040 // EQU24_RS10035	EQU24_RS10035	EQU24_RS10040 // EQU24_RS10035		
EQU24_RS10030	EQU24_RS10030	2234145	2234570	ATP-binding protein	EQU24_RS10030 // EQU24_RS10025	EQU24_RS10030	EQU24_RS10030 // EQU24_RS10025		
EQU24_RS10025	EQU24_RS10025	2233798	2234136	STAS domain-containing protein	EQU24_RS10030 // EQU24_RS10025	EQU24_RS10025	EQU24_RS10030 // EQU24_RS10025		
chrA	EQU24_RS10020	2232051	2233373	chromate efflux transporter	chrA	EQU24_RS10020	chrA		
EQU24_RS10015	EQU24_RS10015	2231558	2232061	hypothetical protein	EQU24_RS10015	EQU24_RS10015	EQU24_RS10015		
EQU24_RS10010	EQU24_RS10010	2230715	2230933	hypothetical protein	EQU24_RS10010	EQU24_RS10010	EQU24_RS10010		
rplI	EQU24_RS10005	2230186	2230632	50S ribosomal protein L9	rplI	EQU24_RS10005	rplI		
EQU24_RS10000	EQU24_RS10000	2229229	2230128	DUF2232 domain-containing protein	EQU24_RS10000 // rpsR // rpsF	EQU24_RS10000	EQU24_RS10000 // rpsR // rpsF		
rpsR	EQU24_RS09995	2228985	2229212	30S ribosomal protein S18	EQU24_RS10000 // rpsR // rpsF	EQU24_RS09995	EQU24_RS10000 // rpsR // rpsF		
rpsF	EQU24_RS09990	2228523	2228960	30S ribosomal protein S6	EQU24_RS10000 // rpsR // rpsF	EQU24_RS09990	EQU24_RS10000 // rpsR // rpsF		
EQU24_RS09985	EQU24_RS09985	2228120	2228399	hypothetical protein	EQU24_RS09985	EQU24_RS09985	EQU24_RS09985		
EQU24_RS09980	EQU24_RS09980	2227396	2228118	dienelactone hydrolase family protein	EQU24_RS09980	EQU24_RS09980	EQU24_RS09980		
EQU24_RS09975	EQU24_RS09975	2226189	2226671	low molecular weight phosphotyrosine protein phosphatase	EQU24_RS09975	EQU24_RS09975	EQU24_RS09975		
EQU24_RS09970	EQU24_RS09970	2223677	2225428	methyl-accepting chemotaxis protein	EQU24_RS09970	EQU24_RS09970	EQU24_RS09970		
EQU24_RS09965	EQU24_RS09965	2223337	2223555	hypothetical protein	EQU24_RS09965	EQU24_RS09965	EQU24_RS09965		
EQU24_RS09960	EQU24_RS09960	2221249	2223081	V-type ATP synthase subunit A	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09960	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09955	EQU24_RS09955	2220553	2221239	DUF2764 family protein	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09955	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09950	EQU24_RS09950	2219867	2220556	V-type ATP synthase subunit A	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09950	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09945	EQU24_RS09945	2219406	2219855	ATP synthase subunit C	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09945	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09940	EQU24_RS09940	2217610	2219406	ATPase	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09940	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09935	EQU24_RS09935	2217007	2217609	V-type ATP synthase subunit D	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09935	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09930	EQU24_RS09930	2215668	2217026	V-type ATP synthase subunit B	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930	EQU24_RS09930	EQU24_RS09960 // EQU24_RS09955 // EQU24_RS09950 // EQU24_RS09945 // EQU24_RS09940 // EQU24_RS09935 // EQU24_RS09930		
EQU24_RS09925	EQU24_RS09925	2214276	2215409	DUF484 family protein	EQU24_RS09925	EQU24_RS09925	EQU24_RS09925		
EQU24_RS09920	EQU24_RS09920	2213745	2213939	hypothetical protein	EQU24_RS09920	EQU24_RS09920	EQU24_RS09920		
EQU24_RS09915	EQU24_RS09915	2212891	2213430	hypothetical protein	EQU24_RS09915	EQU24_RS09915	EQU24_RS09915		
EQU24_RS09910	EQU24_RS09910	2210075	2212870	EAL domain-containing protein	EQU24_RS09910	EQU24_RS09910	EQU24_RS09910		
EQU24_RS09905	EQU24_RS09905	2208280	2208792	hypothetical protein	EQU24_RS09905 // EQU24_RS09900	EQU24_RS09905	EQU24_RS09905 // EQU24_RS09900		
EQU24_RS09900	EQU24_RS09900	2206025	2208280	copper-translocating P-type ATPase	EQU24_RS09905 // EQU24_RS09900	EQU24_RS09900	EQU24_RS09905 // EQU24_RS09900		
EQU24_RS09895	EQU24_RS09895	2205644	2205853	heavy-metal-associated domain-containing protein	EQU24_RS09895	EQU24_RS09895	EQU24_RS09895		
EQU24_RS09890	EQU24_RS09890	2204229	2205428	HDOD domain-containing protein	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875	EQU24_RS09890	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875		
EQU24_RS09885	EQU24_RS09885	2203780	2204220	rhodanese-like domain-containing protein	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875	EQU24_RS09885	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875		
hflD	EQU24_RS09880	2203154	2203783	high frequency lysogenization protein HflD	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875	EQU24_RS09880	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875		
EQU24_RS09875	EQU24_RS09875	2202206	2203141	ATP-binding cassette domain-containing protein	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875	EQU24_RS09875	EQU24_RS09890 // EQU24_RS09885 // hflD // EQU24_RS09875		
EQU24_RS09870	EQU24_RS09870	2200349	2201626	response regulator	EQU24_RS09870	EQU24_RS09870	EQU24_RS09870		
EQU24_RS09865	EQU24_RS09865	2196276	2199836	PAS domain S-box protein	EQU24_RS09865 // EQU24_RS09860	EQU24_RS09865	EQU24_RS09865 // EQU24_RS09860		
EQU24_RS09860	EQU24_RS09860	2194663	2196279	PAS domain-containing sensor histidine kinase	EQU24_RS09865 // EQU24_RS09860	EQU24_RS09860	EQU24_RS09865 // EQU24_RS09860		
EQU24_RS09855	EQU24_RS09855	2191594	2193849	PAS domain S-box protein	EQU24_RS09855 // EQU24_RS09850	EQU24_RS09855	EQU24_RS09855 // EQU24_RS09850		
EQU24_RS09850	EQU24_RS09850	2190489	2191589	two-component system response regulator	EQU24_RS09855 // EQU24_RS09850	EQU24_RS09850	EQU24_RS09855 // EQU24_RS09850		
EQU24_RS09845	EQU24_RS09845	2188061	2190010	DNA ligase	EQU24_RS09845	EQU24_RS09845	EQU24_RS09845		
EQU24_RS09840	EQU24_RS09840	2185781	2187433	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	EQU24_RS09840	EQU24_RS09840	EQU24_RS09840		
EQU24_RS09835	EQU24_RS09835	2185370	2185443	tRNA-Cys	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825	EQU24_RS09835	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825		
EQU24_RS09830	EQU24_RS09830	2185248	2185322	tRNA-Gly	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825	EQU24_RS09830	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825		
EQU24_RS09825	EQU24_RS09825	2184652	2185197	hypothetical protein	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825	EQU24_RS09825	EQU24_RS09835 // EQU24_RS09830 // EQU24_RS09825		
EQU24_RS09820	EQU24_RS09820	2182579	2184165	hypothetical protein	EQU24_RS09820	EQU24_RS09820	EQU24_RS09820		
EQU24_RS09815	EQU24_RS09815	2182066	2182326	hypothetical protein	EQU24_RS09815 // EQU24_RS09810	EQU24_RS09815	EQU24_RS09815 // EQU24_RS09810		
EQU24_RS09810	EQU24_RS09810	2181818	2182060	hypothetical protein	EQU24_RS09815 // EQU24_RS09810	EQU24_RS09810	EQU24_RS09815 // EQU24_RS09810		
sbcB	EQU24_RS09805	2180306	2181760	exodeoxyribonuclease I	sbcB // EQU24_RS09800	EQU24_RS09805	sbcB // EQU24_RS09800		
EQU24_RS09800	EQU24_RS09800	2179893	2180288	CBS domain-containing protein	sbcB // EQU24_RS09800	EQU24_RS09800	sbcB // EQU24_RS09800		
nqrM	EQU24_RS09795	2179651	2179830	(Na+)-NQR maturation NqrM	nqrM // EQU24_RS09790	EQU24_RS09795	nqrM // EQU24_RS09790		
EQU24_RS09790	EQU24_RS09790	2178605	2179648	FAD:protein FMN transferase ApbE	nqrM // EQU24_RS09790	EQU24_RS09790	nqrM // EQU24_RS09790		
EQU24_RS09785	EQU24_RS09785	2177325	2178545	NADH:ubiquinone reductase (Na(+)-transporting) subunit F	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09785	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
nqrE	EQU24_RS09780	2176704	2177312	NADH:ubiquinone reductase (Na(+)-transporting) subunit E	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09780	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
EQU24_RS09775	EQU24_RS09775	2176024	2176704	NADH:ubiquinone reductase (Na(+)-transporting) subunit D	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09775	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
EQU24_RS09770	EQU24_RS09770	2175177	2176013	Na(+)-translocating NADH-quinone reductase subunit C	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09770	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
EQU24_RS09765	EQU24_RS09765	2173982	2175184	NADH:ubiquinone reductase (Na(+)-transporting) subunit B	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09765	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
EQU24_RS09760	EQU24_RS09760	2172630	2173982	Na(+)-translocating NADH-quinone reductase subunit A	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760	EQU24_RS09760	EQU24_RS09785 // nqrE // EQU24_RS09775 // EQU24_RS09770 // EQU24_RS09765 // EQU24_RS09760		
nadA	EQU24_RS09755	2170988	2172085	quinolinate synthase NadA	nadA	EQU24_RS09755	nadA		
aspS	EQU24_RS09750	2169082	2170872	aspartate--tRNA ligase	aspS	EQU24_RS09750	aspS		
EQU24_RS09745	EQU24_RS09745	2168739	2168816	GTP cyclohydrolase II	EQU24_RS09745	EQU24_RS09745	EQU24_RS09745		
EQU24_RS09740	EQU24_RS09740	2168465	2168740	zinc ribbon domain-containing protein	EQU24_RS09740	EQU24_RS09740	EQU24_RS09740		
pyrC	EQU24_RS09735	2167313	2168362	dihydroorotase	pyrC	EQU24_RS09735	pyrC		
EQU24_RS09730	EQU24_RS09730	2166160	2166750	DUF502 domain-containing protein	EQU24_RS09730	EQU24_RS09730	EQU24_RS09730		
EQU24_RS09725	EQU24_RS09725	2165032	2165754	hypothetical protein	EQU24_RS09725	EQU24_RS09725	EQU24_RS09725		
EQU24_RS09720	EQU24_RS09720	2163421	2164701	TolC family protein	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710	EQU24_RS09720	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710		
EQU24_RS09715	EQU24_RS09715	2162088	2163428	efflux RND transporter periplasmic adaptor subunit	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710	EQU24_RS09715	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710		
EQU24_RS09710	EQU24_RS09710	2158922	2162095	efflux RND transporter permease subunit	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710	EQU24_RS09710	EQU24_RS09720 // EQU24_RS09715 // EQU24_RS09710		
EQU24_RS09705	EQU24_RS09705	2157877	2158773	dihydrodipicolinate synthase family protein	EQU24_RS09705	EQU24_RS09705	EQU24_RS09705		
EQU24_RS09700	EQU24_RS09700	2157522	2157848	DUF1840 domain-containing protein	EQU24_RS09700	EQU24_RS09700	EQU24_RS09700		
EQU24_RS09695	EQU24_RS09695	2156687	2157343	pyridoxamine 5'-phosphate oxidase	EQU24_RS09695	EQU24_RS09695	EQU24_RS09695		
EQU24_RS09690	EQU24_RS09690	2156406	2156606	hypothetical protein	EQU24_RS09690	EQU24_RS09690	EQU24_RS09690		
EQU24_RS09685	EQU24_RS09685	2156225	2156315	tRNA-Ser	EQU24_RS09685	EQU24_RS09685	EQU24_RS09685		
EQU24_RS09680	EQU24_RS09680	2152297	2155908	5-oxoprolinase	EQU24_RS09680 // EQU24_RS09675 // ttcA	EQU24_RS09680	EQU24_RS09680 // EQU24_RS09675 // ttcA		
EQU24_RS09675	EQU24_RS09675	2151573	2152304	SAM-dependent chlorinase/fluorinase	EQU24_RS09680 // EQU24_RS09675 // ttcA	EQU24_RS09675	EQU24_RS09680 // EQU24_RS09675 // ttcA		
ttcA	EQU24_RS09670	2150712	2151572	tRNA 2-thiocytidine(32) synthetase TtcA	EQU24_RS09680 // EQU24_RS09675 // ttcA	EQU24_RS09670	EQU24_RS09680 // EQU24_RS09675 // ttcA		
fabB	EQU24_RS09665	2149218	2150438	beta-ketoacyl-ACP synthase I	fabB // fabA	EQU24_RS09665	fabB // fabA		
fabA	EQU24_RS09660	2148691	2149206	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	fabB // fabA	EQU24_RS09660	fabB // fabA		
EQU24_RS09655	EQU24_RS09655	2146724	2148565	lytic murein transglycosylase	EQU24_RS09655	EQU24_RS09655	EQU24_RS09655		
EQU24_RS09650	EQU24_RS09650	2144622	2146403	ATP-binding cassette domain-containing protein	EQU24_RS09650	EQU24_RS09650	EQU24_RS09650		
EQU24_RS09645	EQU24_RS09645	2143630	2144472	PHP domain-containing protein	EQU24_RS09645	EQU24_RS09645	EQU24_RS09645		
EQU24_RS09640	EQU24_RS09640	2142107	2143540	hypothetical protein	EQU24_RS09640	EQU24_RS09640	EQU24_RS09640		
EQU24_RS09635	EQU24_RS09635	2141062	2142063	peptidase M14	EQU24_RS09635 // EQU24_RS09630	EQU24_RS09635	EQU24_RS09635 // EQU24_RS09630		
EQU24_RS09630	EQU24_RS09630	2140637	2141074	YcgN family cysteine cluster protein	EQU24_RS09635 // EQU24_RS09630	EQU24_RS09630	EQU24_RS09635 // EQU24_RS09630		
xth	EQU24_RS09625	2139606	2140370	exodeoxyribonuclease III	xth // EQU24_RS09620	EQU24_RS09625	xth // EQU24_RS09620		
EQU24_RS09620	EQU24_RS09620	2138977	2139573	uracil-DNA glycosylase	xth // EQU24_RS09620	EQU24_RS09620	xth // EQU24_RS09620		
EQU24_RS09615	EQU24_RS09615	2138377	2138616	DUF4160 domain-containing protein	EQU24_RS09615 // EQU24_RS09610	EQU24_RS09615	EQU24_RS09615 // EQU24_RS09610		
EQU24_RS09610	EQU24_RS09610	2138151	2138417	DUF2442 domain-containing protein	EQU24_RS09615 // EQU24_RS09610	EQU24_RS09610	EQU24_RS09615 // EQU24_RS09610		
EQU24_RS09605	EQU24_RS09605	2137792	2138011	hypothetical protein	EQU24_RS09605	EQU24_RS09605	EQU24_RS09605		
EQU24_RS09600	EQU24_RS09600	2133832	2137020	PAS domain S-box protein	EQU24_RS09600	EQU24_RS09600	EQU24_RS09600		
EQU24_RS09595	EQU24_RS09595	2130527	2133856	EAL domain-containing protein	EQU24_RS09595	EQU24_RS09595	EQU24_RS09595		
EQU24_RS09590	EQU24_RS09590	2130082	2130180	GNAT family N-acetyltransferase	EQU24_RS09590	EQU24_RS09590	EQU24_RS09590		
EQU24_RS09585	EQU24_RS09585	2129854	2130084	sulfurtransferase TusA family protein	EQU24_RS09585	EQU24_RS09585	EQU24_RS09585		
cobA	EQU24_RS09580	2128370	2129773	uroporphyrinogen-III C-methyltransferase	cobA // EQU24_RS09575	EQU24_RS09580	cobA // EQU24_RS09575		
EQU24_RS09575	EQU24_RS09575	2127412	2128419	WD40 repeat domain-containing protein	cobA // EQU24_RS09575	EQU24_RS09575	cobA // EQU24_RS09575		
EQU24_RS09570	EQU24_RS09570	2126801	2127205	hypothetical protein	EQU24_RS09570	EQU24_RS09570	EQU24_RS09570		
EQU24_RS09565	EQU24_RS09565	2126241	2126450	hypothetical protein	EQU24_RS09565	EQU24_RS09565	EQU24_RS09565		
EQU24_RS09560	EQU24_RS09560	2125957	2126157	hypothetical protein	EQU24_RS09560	EQU24_RS09560	EQU24_RS09560		
EQU24_RS09555	EQU24_RS09555	2123152	2125335	starch-binding protein	EQU24_RS09555	EQU24_RS09555	EQU24_RS09555		
EQU24_RS09550	EQU24_RS09550	2118355	2122638	PAS domain S-box protein	EQU24_RS09550	EQU24_RS09550	EQU24_RS09550		
EQU24_RS09545	EQU24_RS09545	2117009	2117482	hypothetical protein	EQU24_RS09545	EQU24_RS09545	EQU24_RS09545		
EQU24_RS09540	EQU24_RS09540	2116554	2116967	hypothetical protein	EQU24_RS09540 // EQU24_RS09535	EQU24_RS09540	EQU24_RS09540 // EQU24_RS09535		
EQU24_RS09535	EQU24_RS09535	2116283	2116534	preprotein translocase subunit SecB	EQU24_RS09540 // EQU24_RS09535	EQU24_RS09535	EQU24_RS09540 // EQU24_RS09535		
EQU24_RS09530	EQU24_RS09530	2115539	2115759	transposase	EQU24_RS09530	EQU24_RS09530	EQU24_RS09530		
EQU24_RS09525	EQU24_RS09525	2115350	2115434	tRNA-Leu	EQU24_RS09525 // secG // EQU24_RS09515	EQU24_RS09525	EQU24_RS09525 // secG // EQU24_RS09515		
secG	EQU24_RS09520	2114929	2115339	preprotein translocase subunit SecG	EQU24_RS09525 // secG // EQU24_RS09515	EQU24_RS09520	EQU24_RS09525 // secG // EQU24_RS09515		
EQU24_RS09515	EQU24_RS09515	2114155	2114904	triose-phosphate isomerase	EQU24_RS09525 // secG // EQU24_RS09515	EQU24_RS09515	EQU24_RS09525 // secG // EQU24_RS09515		
glmM	EQU24_RS09510	2112752	2114095	phosphoglucosamine mutase	glmM	EQU24_RS09510	glmM		
ftsH	EQU24_RS09505	2110458	2112386	ATP-dependent zinc metalloprotease FtsH	ftsH	EQU24_RS09505	ftsH		
rlmE	EQU24_RS09500	2109713	2110330	23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE	rlmE	EQU24_RS09500	rlmE		
EQU24_RS09495	EQU24_RS09495	2109395	2109661	YhbY family RNA-binding protein	EQU24_RS09495	EQU24_RS09495	EQU24_RS09495		
greA	EQU24_RS09490	2108871	2109347	transcription elongation factor GreA	greA	EQU24_RS09490	greA		
carB	EQU24_RS09485	2105467	2108694	carbamoyl-phosphate synthase large subunit	carB // carA	EQU24_RS09485	carB // carA		
carA	EQU24_RS09480	2104304	2105437	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carB // carA	EQU24_RS09480	carB // carA		
EQU24_RS09475	EQU24_RS09475	2100858	2103932	carboxypeptidase	EQU24_RS09475	EQU24_RS09475	EQU24_RS09475		
EQU24_RS09470	EQU24_RS09470	2100581	2100793	hypothetical protein	EQU24_RS09470	EQU24_RS09470	EQU24_RS09470		
EQU24_RS09465	EQU24_RS09465	2099891	2100469	NAD(P)H-dependent oxidoreductase	EQU24_RS09465	EQU24_RS09465	EQU24_RS09465		
EQU24_RS09460	EQU24_RS09460	2099073	2099843	ABC transporter	EQU24_RS09460	EQU24_RS09460	EQU24_RS09460		
EQU24_RS09455	EQU24_RS09455	2098272	2098934	ribonuclease T	EQU24_RS09455	EQU24_RS09455	EQU24_RS09455		
grxD	EQU24_RS09450	2097875	2098198	Grx4 family monothiol glutaredoxin	grxD	EQU24_RS09450	grxD		
EQU24_RS09445	EQU24_RS09445	2096508	2097701	acetylornithine transaminase	EQU24_RS09445 // argF // EQU24_RS09435	EQU24_RS09445	EQU24_RS09445 // argF // EQU24_RS09435		
argF	EQU24_RS09440	2095616	2096518	ornithine carbamoyltransferase	EQU24_RS09445 // argF // EQU24_RS09435	EQU24_RS09440	EQU24_RS09445 // argF // EQU24_RS09435		
EQU24_RS09435	EQU24_RS09435	2094906	2095583	TIGR04211 family SH3 domain-containing protein	EQU24_RS09445 // argF // EQU24_RS09435	EQU24_RS09435	EQU24_RS09445 // argF // EQU24_RS09435		
ilvD	EQU24_RS09430	2092951	2094648	dihydroxy-acid dehydratase	ilvD // EQU24_RS09425 // cpdA	EQU24_RS09430	ilvD // EQU24_RS09425 // cpdA		
EQU24_RS09425	EQU24_RS09425	2091583	2092890	amino-acid N-acetyltransferase	ilvD // EQU24_RS09425 // cpdA	EQU24_RS09425	ilvD // EQU24_RS09425 // cpdA		
cpdA	EQU24_RS09420	2090772	2091572	3',5'-cyclic-AMP phosphodiesterase	ilvD // EQU24_RS09425 // cpdA	EQU24_RS09420	ilvD // EQU24_RS09425 // cpdA		
EQU24_RS09415	EQU24_RS09415	2090091	2090627	RNA pyrophosphohydrolase	EQU24_RS09415	EQU24_RS09415	EQU24_RS09415		
EQU24_RS09410	EQU24_RS09410	2089145	2089831	HAD family hydrolase	EQU24_RS09410	EQU24_RS09410	EQU24_RS09410		
EQU24_RS09405	EQU24_RS09405	2088441	2088902	gamma-glutamylcyclotransferase	EQU24_RS09405	EQU24_RS09405	EQU24_RS09405		
EQU24_RS09400	EQU24_RS09400	2087237	2087614	LysR family transcriptional regulator	EQU24_RS09400	EQU24_RS09400	EQU24_RS09400		
EQU24_RS09395	EQU24_RS09395	2085545	2087113	hypothetical protein	EQU24_RS09395	EQU24_RS09395	EQU24_RS09395		
modA	EQU24_RS09390	2084648	2085409	molybdate ABC transporter substrate-binding protein	modA // modB // modC	EQU24_RS09390	modA // modB // modC		
modB	EQU24_RS09385	2083966	2084643	molybdate ABC transporter permease subunit	modA // modB // modC	EQU24_RS09385	modA // modB // modC		
modC	EQU24_RS09380	2082886	2083962	molybdenum ABC transporter ATP-binding protein	modA // modB // modC	EQU24_RS09380	modA // modB // modC		
mazG	EQU24_RS09375	2081834	2082637	nucleoside triphosphate pyrophosphohydrolase	mazG // EQU24_RS09370 // EQU24_RS09365	EQU24_RS09375	mazG // EQU24_RS09370 // EQU24_RS09365		
EQU24_RS09370	EQU24_RS09370	2080905	2081837	carbohydrate kinase family protein	mazG // EQU24_RS09370 // EQU24_RS09365	EQU24_RS09370	mazG // EQU24_RS09370 // EQU24_RS09365		
EQU24_RS09365	EQU24_RS09365	2080534	2080896	diacylglycerol kinase	mazG // EQU24_RS09370 // EQU24_RS09365	EQU24_RS09365	mazG // EQU24_RS09370 // EQU24_RS09365		
gcvH	EQU24_RS09360	2079642	2080025	glycine cleavage system protein GcvH	gcvH	EQU24_RS09360	gcvH		
EQU24_RS09355	EQU24_RS09355	2078432	2079517	efflux RND transporter periplasmic adaptor subunit	EQU24_RS09355	EQU24_RS09355	EQU24_RS09355		
EQU24_RS09350	EQU24_RS09350	2075300	2078386	efflux RND transporter permease subunit	EQU24_RS09350	EQU24_RS09350	EQU24_RS09350		
EQU24_RS09345	EQU24_RS09345	2073554	2075086	hypothetical protein	EQU24_RS09345	EQU24_RS09345	EQU24_RS09345		
EQU24_RS09340	EQU24_RS09340	2068791	2073218	transporter substrate-binding domain-containing protein	EQU24_RS09340 // EQU24_RS09335	EQU24_RS09340	EQU24_RS09340 // EQU24_RS09335		
EQU24_RS09335	EQU24_RS09335	2067739	2068794	response regulator	EQU24_RS09340 // EQU24_RS09335	EQU24_RS09335	EQU24_RS09340 // EQU24_RS09335		
EQU24_RS09330	EQU24_RS09330	2064675	2067461	EAL domain-containing protein	EQU24_RS09330	EQU24_RS09330	EQU24_RS09330		
EQU24_RS09325	EQU24_RS09325	2062042	2064279	hypothetical protein	EQU24_RS09325 // EQU24_RS09320	EQU24_RS09325	EQU24_RS09325 // EQU24_RS09320		
EQU24_RS09320	EQU24_RS09320	2061300	2062040	DUF5020 family protein	EQU24_RS09325 // EQU24_RS09320	EQU24_RS09320	EQU24_RS09325 // EQU24_RS09320		
EQU24_RS09315	EQU24_RS09315	2060766	2061014	hypothetical protein	EQU24_RS09315	EQU24_RS09315	EQU24_RS09315		
EQU24_RS09310	EQU24_RS09310	2059281	2060687	sodium:proton antiporter	EQU24_RS09310	EQU24_RS09310	EQU24_RS09310		
EQU24_RS09305	EQU24_RS09305	2058745	2058831	DUF1269 domain-containing protein	EQU24_RS09305	EQU24_RS09305	EQU24_RS09305		
